Upstream Regulator,Expr Log Ratio,Molecule Type,Predicted Activation State,Activation z-score,p-value of overlap,Target Molecules in Dataset,Mechanistic Network
2-aminopurine, ,chemical reagent, ,-1.989,0.000238,"IFIT1,IFIT2,NOS2,OAS1", 
FAM3B, ,cytokine, , ,0.000238,"CAV1,CCN4,CDKN1A,DCN", 
epicatechin gallate, ,chemical drug, , ,0.000238,"CDKN1A,GDF15,NOS2,PERP",103 (17)
GDF2, ,growth factor, ,1.937,0.000239,"CAV1,COL9A1,CRABP1,DLK1,HSPB8,NRP1,SPP1", 
POU2F1,-0.01,transcription regulator, , ,0.000247,"CYP1A1,H2BC21,NOS2,PTGDS,PTGES,RPE65,SPP1,VWF", 
FOXL2, ,transcription regulator, ,0.346,0.000248,"CPM,HRH2,LIF,PPARGC1A,PTHLH,ZNF165", 
NEUROG1, ,transcription regulator, ,-1.633,0.000248,"AMIGO2,DCX,EPAS1,PLK2,RIPOR2,THBS1", 
birabresib, ,chemical drug, ,-0.816,0.000248,"CHRNA9,DHRS2,H2AC6,H2BC21,IFI44L,MFNG", 
GW9662, ,chemical reagent, ,0.074,0.000255,"CAV1,CDKN1A,GDF15,NOS2,PPARGC1A,PTGES,SHBG",111 (20)
cytokine, ,group, ,1.745,0.000259,"ADAMTS4,C5AR1,LIF,NOS2,PLAAT4,PLAUR,PTHLH,TNFRSF1B,VWF",121 (21)
SNAI1,0.729,transcription regulator, ,-0.821,0.000272,"CDH5,CDKN1A,CLDN4,GDF15,KRT18,LIF,OLIG1,OLIG2,SVIL",75 (11)
LDB1,-0.131,transcription regulator, , ,0.000275,"CDH5,FRZB,SFRP2", 
Sry, ,transcription regulator, , ,0.000275,"GADD45G,NOS2,PTGDS", 
PD98059, ,chemical - kinase inhibitor, ,-0.93,0.000303,"APOBEC3B,CAV1,CDKN1A,CYP1A1,EDNRB,ELN,EPAS1,FOSB,IGF2,ITGAX,NOS2,PDGFB,PLAUR,PTGES,PTHLH,SMAGP,SPP1,THBS1,TUBA4A",121 (21)
D-glucose, ,chemical - endogenous mammalian,Activated,2.946,0.000306,"ATP8B1,CAV1,CDKN1A,CNR1,CTSV,DCN,ERFE,GALR1,GDF15,H4C11,IGF2,LY96,NOS2,NPAS4,PLAUR,PPARGC1A,PTGDS,SHC1,SPP1,SVIL,THBS1",120 (23)
advanced glycation end-products, ,chemical - endogenous mammalian, , ,0.000311,"CDKN1A,NOS2,PDGFB,PTGES,SPP1",132 (22)
SMAD2,-0.215,transcription regulator, ,1.153,0.000311,"CDH5,CDKN1A,CRISPLD2,INPP5D,PDGFB,PTHLH,THBS1",120 (15)
JUN,0.213,transcription regulator, ,0.522,0.000321,"ACP5,C5AR1,CAV1,CDKN1A,FRZB,ITGB4,LIF,NOS2,OXTR,PLAUR,PTGDS,PTGES,PTHLH,SPP1,SVIL,THBS1,XYLT1",110 (17)
FGF1,0.6,growth factor, ,0.013,0.000325,"CCN4,CDKN1A,DLL1,GADD45G,ITGAX,SPP1,SSTR2,THBS1",115 (17)
KLF4,0.688,transcription regulator, ,0.286,0.000326,"ALCAM,ASCL1,CDKN1A,CENPE,CYP1A1,DLL1,FRZB,NOS2,NRP1,PLAUR,PPL,THBS1",73 (7)
Smad, ,complex, ,1.268,0.000333,"CDKN1A,INPP5D,PTHLH,TBX21", 
FANCC,0.073,other, , ,0.000344,"GDF15,IFI44L,MYOF,NOS2,OAS1,RPGR",37 (4)
MYRF,0.059,transcription regulator,Inhibited,-2.438,0.000344,"AMOTL2,GDF15,PARP10,PLAUR,PLP1,SDSL", 
ZFP57, ,transcription regulator, , ,0.000374,"DLK1,H19,IGF2", 
miR-146a-5p (and other miRNAs w/seed GAGAACU), ,mature microRNA, ,-0.388,0.000377,"IRAK2,MMP16,MR1,NLGN1,NOS2,TBX21,VWCE", 
isoproterenol, ,chemical drug, ,1.294,0.000377,"ADRB1,CAV1,CYP1A1,LIF,NOS2,PDGFB,PLP1,TNXB,VWF",127 (21)
CDC73,-0.253,other, , ,0.00039,"H1-2,H19,IGF2,PTGES", 
NFAT5,0.246,transcription regulator,Activated,2.433,0.000401,"CCN4,LIF,NOS2,PTGES,SPP1,TNFAIP2,VWF",74 (7)
sulindac sulfide, ,chemical drug, ,-0.337,0.000402,"CDKN1A,CYP1A1,GADD45G,GDF15,PTGES,TUBA4A",104 (14)
IRS1,0.622,enzyme, , ,0.000423,"CCN4,DLK1,NRP1,PPARGC1A,PRDM16,SFRP2,SPP1,TNXB", 
RNY3, ,other, ,1,0.000453,"IFI44L,IFIT1,OAS1,OAS3", 
IL1A, ,cytokine, ,1.723,0.00049,"ADAMTS4,CDKN1A,CYP1A1,FOSB,LIF,NOS2,PDGFB,PTGES,SERPINA3,SPP1,SSTR2",116 (21)
RAS, ,group, ,1.91,0.000492,"CAV1,CDKN1A,CLDN4,LIF,NOS2,PDGFB,PLAUR,PTGES",138 (21)
PAF1,-0.149,other, ,0,0.000516,"ARL4A,H2AC6,IFI44L,OAS3,PLAUR", 
SNCA, ,enzyme, ,0.19,0.000526,"CDH15,CRYM,DLK1,HES5,KCNJ11,LRRK2,NOS2,OPN3,PCDH15,RPH3A,SLITRK1,SNX22,SPOCK2", 
mifepristone, ,chemical drug, ,1.43,0.000526,"ABCC3,CAV1,CDKN1A,CHI3L1,EDNRB,IGF2,ITGB4,OXTR,PLK2,SFRP2,SPP1,SSTR2,TRIM13",132 (16)
TFAP2C,1.119,transcription regulator, ,-0.005,0.00054,"ALCAM,ANTXR2,CDKN1A,H1-2,NRP1,THBS1", 
KLF16,0.069,transcription regulator, , ,0.000544,"CDKN1A,CYP1A1", 
CD44,0.663,other, ,1.937,0.000569,"CD8A,CDH5,CDKN1A,HAS3,ITGAX,LEMD1,PTHLH,SFRP2,SPP1,THBS1",91 (15)
ERG, ,transcription regulator, ,0.378,0.000569,"APOC1,ARHGAP22,CNR1,FOSB,NLGN1,PLAUR,SPP1,SVIL,THBS1,VWF",62 (7)
MAPK8,-0.489,kinase, ,0.382,0.000582,"CDKN1A,CYP1A1,LIF,NOS2,NRP1,PLAUR,PPARGC1A,PTGES,TBX21",135 (19)
L-triiodothyronine, ,chemical - endogenous mammalian, ,1.436,0.000595,"APOC1,CDKN1A,CNR1,DLK1,EPAS1,GDF15,NOS2,NT5E,PPARGC1A,PRDM16,PTGDS,RASD2,SFRP2,SHBG,SLC43A2,SYNPO",95 (18)
dicarbethoxydihydrocollidine, ,chemical toxicant, , ,0.0006,"ABCC3,H19,NOS2,SPP1", 
estrogen, ,chemical drug, ,1.33,0.000617,"CDKN1A,CRABP1,EPAS1,FBLN1,IGF2,LIF,OXTR,PTGDS,SERPINA3,SPP1,SSTR2,TBX21",131 (22)
MYOD1, ,transcription regulator, ,0.612,0.000621,"CDH15,CDKN1A,CENPE,GADD45G,HSPB8,IFIT2,IGF2,LIF,PPARGC1A,PRDM16,TNS1",70 (7)
FN1,-0.005,enzyme, ,1.129,0.000659,"ACP5,CD8A,CDKN1A,NOS2,PDGFB,PLAUR,RASSF2,SPP1,THBS1,TNFAIP2",92 (17)
CCL5, ,cytokine, ,0.816,0.000666,"ALCAM,C5AR1,NOS2,PLAUR,PTGDS,THBS1",125 (17)
propylthiouracil, ,chemical drug, , ,0.000677,"ABCC3,DCX,DLK1,IGF2,LRRC4,NRP1,SFRP2", 
CD24,-0.066,other, , ,0.000677,"APOBEC3B,CAV1,CDKN1A,GDF15,HSPB8,PDGFB,THBS1",108 (19)
LPIN1,-0.002,phosphatase, , ,0.000685,"CDKN1A,DLK1,NOS2,PPARGC1A",92 (14)
KLF6,-0.143,transcription regulator, ,0.041,0.000712,"CDKN1A,CHI3L1,CYP1A1,DLK1,NOS2,OLIG2",104 (12)
EOMES, ,transcription regulator, ,-0.57,0.000715,"ALCAM,CRABP1,CRYM,DHRS2,FRZB,H19,MAP2K6", 
dopamine, ,chemical - endogenous mammalian, ,1.294,0.000756,"ATP8B1,CNR1,FOSB,GRIK2,NPAS4,SCN1A,SSTR2,TFAP2C", 
MAPK11,0.063,kinase, , ,0.000778,"ACP5,CAV1,PPARGC1A,TBX21",79 (7)
ZBTB48,0.302,transcription regulator, ,1,0.000778,"CPM,FOSB,SPP1,TUBA4A", 
CNOT7,-0.135,transcription regulator, , ,0.000778,"BST2,IFI44L,OAS1,OAS3",34 (4)
MECOM,-0.402,transcription regulator, , ,0.000778,"CDKN1A,DCN,GADD45G,ITGB4", 
ACKR3,-0.866,G-protein coupled receptor, , ,0.000778,"CDKN1A,COL9A1,ELN,VWF", 
IgG, ,complex, ,0.223,0.000789,"CDKN1A,CLDN4,FOSB,INPP5D,KRT18,NPAS4,PLAUR,PPL,SYNPO,THBS1",123 (20)
CEBPB,0.846,transcription regulator, ,1.59,0.000795,"CDKN1A,CYP1A1,DCN,FBLN1,H4C11,H4C15,KRT18,LY96,NOS2,NRP1,OXTR,PLAUR,PPARGC1A,PTGES,SPP1",126 (21)
JUND,-0.35,transcription regulator, , ,0.000813,"C5AR1,ITGB4,NOS2,PLAUR,SPP1,TBX21",111 (12)
anisomycin, ,chemical - endogenous non-mammalian, ,0.692,0.000881,"ADRB1,CDKN1A,CYP1A1,PLAUR,SPP1",116 (20)
HNRNPA2B1,-0.215,other, , ,0.000905,"CRB1,CTSV,GDF15,H19,OAS1,PGM2L1,PPARGC1A,SULT1A1", 
lovastatin, ,chemical drug, ,1.191,0.000905,"BCYRN1,CDKN1A,LIF,NOS2,PLP1,PTHLH,TBX21,VWF",135 (23)
morphine, ,chemical drug, ,0.235,0.000905,"CDKN1A,CNR1,FOSB,GHR,NOS2,PTGES,SYNPO,THBS1",151 (23)
VEGFA,-0.279,growth factor, ,1.104,0.000932,"CAV1,CDH5,CDKN1A,CTSV,DLL1,FOSB,INPP5D,NOS2,NRP1,PDGFB,PPARGC1A,THBS1",120 (20)
IL1, ,group, ,1.292,0.000988,"ADAMTS4,ALDH3A1,CDKN1A,CHI3L1,CYP1A1,DCN,H19,LIF,MAP2K6,NOS2,PPARGC1A,SHBG,TNFRSF1B",125 (18)
GJA1,-0.253,transporter, ,-1.067,0.00099,"CDKN1A,NOS2,SPP1,THBS1",139 (21)
NUP62,0.177,transporter, , ,0.000992,"CDKN1A,PERP,ZNF750", 
8-bromo-cAMP, ,chemical reagent,Activated,2.178,0.00102,"DCN,DMRT1,IGF2,NOS2,NRP1,PPARGC1A,SHC1,SPP1,SYNPO",142 (23)
DUSP1,0.015,phosphatase, ,0.022,0.00103,"GDF15,IFIT1,NOS2,NRP1,PDGFB,PLAUR,SYNPO",138 (20)
MSC, ,transcription regulator, ,-0.447,0.00104,"GPAT3,IFI44L,IFIT1,SDSL,SPP1", 
ERK1/2, ,group, ,1.466,0.00104,"CAV1,CCN4,CDKN1A,CTSV,FOSB,H19,IFIT1,NOS2,OLIG2,PLAUR,PTGES,SPP1",137 (22)
paclitaxel, ,chemical drug, ,0.151,0.00104,"CAV1,CDKN1A,CYP1A1,DHRS2,GDF15,NT5E,PLAUR,PRELP,SMAGP,SVIL,THBS1,TUBA4A",112 (19)
receptor protein tyrosine kinase, ,group, , ,0.00108,"NOS2,SPP1",72 (7)
tetrahydrocurcumin, ,chemical - endogenous mammalian, , ,0.00108,"CDKN1A,NOS2",76 (10)
RAPGEF4,-0.284,other, , ,0.00108,"SPP1,THBS1",57 (4)
S100A11,-0.026,other, , ,0.00108,"ADAMTS4,CDKN1A", 
tirapazamine, ,chemical drug, , ,0.00108,"CDKN1A,SPP1", 
H-8, ,chemical toxicant, , ,0.00108,"ALDH3A1,NOS2", 
SMARCA4,0.05,transcription regulator, ,1.004,0.00109,"ANTXR2,APOL3,CDKN1A,CPM,CYP1A1,DLL1,GADD45G,IFI30,IFIT1,KRT18,MIR503HG,NRP1,OLIG2,PERP,PGM2L1,PLAUR,PTHLH,SPP1,TBX21",102 (11)
IFNA1/IFNA13, ,cytokine, ,1.467,0.00112,"CYP1A1,IFIT1,IFIT2,OAS1,PLAAT4",79 (8)
IL2, ,cytokine, ,1.363,0.00113,"CACNA1E,CD8A,CDKN1A,CYP1A1,EPAS1,GADD45G,GDF15,H1-2,LIF,MAP2K6,NOS2,NRP1,NT5E,PTHLH,PTPN3,SPP1,TBX21,TNFRSF10D,TNFRSF1B",137 (19)
F2, ,peptidase,Activated,2.156,0.00117,"CDKN1A,EDNRB,FOSB,NOS2,PDGFB,PGM2L1,PLAUR,RDH5,SLC2A12,THBS1,VWF",117 (20)
GAS2L3,-0.286,other, , ,0.00121,"CDKN1A,LIF,PLK2", 
"WIN 55,212-2", ,chemical - other, , ,0.00121,"CNR1,DCX,NOS2", 
FOXC2, ,transcription regulator, ,-0.447,0.00121,"ADRB1,DLL1,HES5,PPARGC1A,PRDM16", 
Nr1h, ,group, ,-1.544,0.00122,"APOC1,CAV1,ICOSLG/LOC102723996,NOS2,PPARGC1A,PTGES,RPE65,THBS1", 
PRDM1, ,transcription regulator, ,-0.333,0.00123,"CHI3L1,CRISPLD2,GPAT3,LRRN1,NOS2,PLAAT4,RASSF2,SERPINA3,TBX21,TNFRSF10D",93 (7)
diclofenac, ,chemical drug, ,1.131,0.00124,"CDKN1A,CLDN4,GDF15,NOS2",113 (16)
formaldehyde, ,chemical - endogenous mammalian, , ,0.00124,"CYP1A1,FOSB,GHR,NOS2",70 (7)
indole-3-carbinol, ,chemical drug, ,1.987,0.00124,"CDKN1A,GDF15,SPP1,TBX21",72 (7)
andrographolide, ,chemical drug, ,-0.762,0.00124,"CNR1,CYP1A1,NOS2,OXTR", 
naringenin, ,chemical - endogenous non-mammalian, ,-0.218,0.00124,"CLDN4,CYP1A1,NOS2,PPARGC1A",112 (12)
TCF4,-0.109,transcription regulator, ,-0.443,0.00125,"ALCAM,ASCL1,CDKN1A,GPR37,IGF2,NOS2,PACSIN1,PLAUR,PLK2,RIPOR2,SMAGP,SP140L,SPP1,TENT5C",77 (7)
SBDS,-0.166,other, , ,0.00126,"CPLX1,CRABP1,CRYM,HES5,OPN3,SPP1", 
prostaglandin E2, ,chemical - endogenous mammalian, ,0.791,0.0013,"C5AR1,CDKN1A,DCN,FOSB,NOS2,NRP1,NT5E,PLK2,PTGES,SPP1,TBX21,THBS1",126 (23)
17-alpha-ethinylestradiol, ,chemical drug,Activated,2.4,0.00133,"ABCC3,CDKN1A,GDF15,IFI30,PERP,PTGDS,SHBG,SPOCK2", 
kainic acid, ,chemical toxicant,Activated,2.569,0.00133,"CD200,CNR1,DCX,FOSB,GRIK2,NPAS4,PTGES,SPP1",105 (16)
COL18A1,0.056,other, ,-0.485,0.00133,"CDH5,EDNRB,NOS2,NRP1,THBS1,VWF",104 (12)
MAP2K1,0,kinase, ,-0.201,0.00136,"CDH5,CDKN1A,ITGB4,NOS2,OLIG2,PLAUR,PLP1,PMP2,THBS1",124 (22)
GAPDH,-0.196,enzyme,Inhibited,-2,0.00138,"IFIT2,OAS1,OAS3,SPP1", 
staurosporine, ,chemical - kinase inhibitor, ,-1.505,0.00139,"CDKN1A,CYP1A1,H19,IFIT2,IGF2,NOS2,SERPINA3",113 (18)
fulvestrant, ,chemical drug, ,1.648,0.00143,"ADRB1,CAV1,CDKN1A,GHR,MAP2K6,NOS2,NRP1,PLK2,PTGES,SSTR2,TUBA4A",128 (23)
CAMK4,-0.614,kinase, ,0.927,0.00153,"CDKN1A,DCX,FOSB,PPARGC1A",85 (7)
DNMT1,0.224,enzyme, ,-0.277,0.00158,"CDKN1A,CNR1,DMRT1,IGF2,PRDM16,SFRP2", 
USF2,-0.283,transcription regulator, , ,0.00163,"ACP5,CHI3L1,SHBG,SPP1,THBS1", 
MED12,0.058,transcription regulator, , ,0.00173,"ASCL1,GDF15,LIF", 
lomustine, ,chemical drug, ,1.109,0.00175,"CLDN4,ITGB4,SPP1,TMEM173,TNFRSF10D", 
SPINDOC,0.205,other, , ,0.00178,"BST2,IFI44L", 
SPIN1,-0.256,other, , ,0.00178,"BST2,IFI44L", 
MPO, ,enzyme, , ,0.00178,"EDNRB,NOS2",23 (4)
"pyridoxal phosphate-6-azophenyl-2',4'-disulfonic acid", ,chemical reagent, , ,0.00178,"NOS2,THBS1", 
hydrogen peroxide, ,chemical - endogenous mammalian, ,1.884,0.00181,"CAV1,CDKN1A,CNR1,CYP1A1,ELN,EPAS1,GDF15,IFIT2,NOS2,PDGFB,PLAUR,PPARGC1A,SFRP2,SHC1,SPP1,TUBA4A",108 (20)
TAF4,-0.179,transcription regulator, ,-1.131,0.00186,"DCN,OAS1,PPARGC1A,SFRP2,SPP1,THBS1", 
FGFR1,0.38,kinase, ,0.555,0.00186,"CDKN1A,DCX,DLL1,LIF,PLAUR,PLP1",116 (18)
HTT,0.236,transcription regulator, ,0.541,0.00188,"ADAMTS4,CCN4,CDKN1A,CNR1,CPLX2,DCN,DLL1,EDNRB,GADD45G,IGF2,NOS2,PLAUR,PPARGC1A,PRELP,RASD2,RPH3A,SERPINA3,SPP1,TFAP2C,TUBA4A",129 (20)
FAS, ,transmembrane receptor, ,1.406,0.00197,"ARL4A,CD200,CDKN1A,FOSB,GADD45G,GLIPR1,IFIT1,INPP5D,NOS2,SHC1,SPP1,TNFRSF1B,TUBA4A",124 (23)
Rp-cAMPS, ,chemical - kinase inhibitor, , ,0.00203,"NOS2,SPP1,SYNPO",118 (16)
HNF1A-AS1, ,other, , ,0.00203,"H19,H2AC6,H2BC21", 
PTPN2,-0.144,phosphatase, , ,0.00203,"NOS2,PPARGC1A,PRDM16",38 (7)
SATB1, ,transcription regulator, ,-1.51,0.00204,"CD8A,CDKN1A,EPAS1,FOSB,GDF15,POU3F4,RIPOR2,TUBA4A", 
ENG,0.926,transmembrane receptor, , ,0.00205,"CDH5,ELN,PDGFB,THBS1",113 (16)
mitoxantrone, ,chemical drug, , ,0.00205,"CDKN1A,IFIT2,PERP,SFRP2",72 (6)
KRAS,0.079,enzyme, ,-0.788,0.00212,"CAV1,CDKN1A,CHI3L1,ELN,FOSB,H1-2,H2AC6,IFIT1,IGF2,LIF,NOS2,NT5E,OAS1,SERPINA3,SPP1,TBX21,THBS1,TNFAIP2,TUBA4A",111 (22)
CIP2A,0.205,other, ,-0.277,0.00214,"DCN,GPR37,PLAUR,SLC16A3,TUBA4A", 
AR,-0.635,ligand-dependent nuclear receptor, ,1.459,0.00215,"CAV1,CDKN1A,CENPE,EDNRB,EHD3,EPAS1,GDF15,IGF2,ITGB4,PTGDS,PTHLH,SERPINA3,SHBG,SPP1,THBS1,TNFAIP2",121 (20)
WNT1, ,cytokine, ,0.104,0.00217,"CCN4,CDKN1A,DLL1,GADD45G,HES5,IGF2,SPP1",85 (11)
CREB1,-0.161,transcription regulator, ,-0.864,0.00222,"ADGRA1,CABP7,CDKN1A,CRYM,DCX,FOSB,GADD45G,GALR1,GRIK2,IGSF9B,NOS2,NPAS4,NRP1,PGM2L1,PPARGC1A,RIPOR2,SEMA4A", 
POSTN, ,other, ,-0.152,0.00225,"ADAMTS4,DLK1,PDGFB,SPP1",74 (7)
BMP2, ,growth factor, ,-0.26,0.00227,"ACP5,ADAMTS7,ASCL1,CDKN1A,CREB3L1,CRYM,FOSB,HES5,SPP1",111 (16)
Tgf beta, ,group,Activated,2.229,0.00229,"CDKN1A,DCN,INPP5D,LIF,NOS2,PDGFB,PPARGC1A,PTHLH,SPP1,TBX21,THBS1",121 (17)
Ifn gamma, ,complex, ,1.446,0.00229,"CDKN1A,CHI3L1,IFI44L,LIF,LY96,NOS2",101 (14)
kawain, ,chemical - endogenous non-mammalian, , ,0.00236,"NOD2,NOS2,PPARGC1A", 
ERVW-1, ,other, , ,0.00236,"CDKN1A,CREB3L1,NOS2", 
GDF15,1.023,growth factor, , ,0.00236,"CDKN1A,GDF15,PLAUR",111 (16)
mir-192, ,microRNA, , ,0.00236,"ALCAM,CDKN1A,NOD2", 
PTH, ,other,Activated,2.388,0.00236,"CARD14,CDKN1A,FOSB,PTHLH,SFRP2,SLC43A2,SPP1,TNS1",121 (18)
Raf, ,group, , ,0.00244,"CDKN1A,GDF15,KRT18,PPARGC1A,TFAP2C",97 (11)
PLAU,0.333,peptidase, ,0.424,0.00244,"C5AR1,GDF15,OAS1,OAS3,PLAUR",80 (7)
FASN,0.164,enzyme, ,-0.447,0.00244,"AMOTL2,CAV1,EDNRB,LRRK2,SFRP2",68 (5)
SMARCB1,-0.183,transcription regulator, ,1.672,0.00245,"CA8,CDKN1A,CENPE,F11R,HES5,OAS1,OAS3,TBX21", 
EFNA4,-0.174,kinase, ,-1,0.00246,"ITGB4,KRT18,NT5E,PTHLH", 
resveratrol, ,chemical drug, ,-1.188,0.00254,"CDKN1A,CYP1A1,DCX,GDF15,IFIT1,IGF2,NOS2,PDGFB,PPARGC1A,SPP1,TNS1",134 (26)
fluticasone propionate, ,chemical drug, ,0,0.00254,"CHI3L1,DCN,IFIT1,PLAAT4,PPARGC1A,SPP1,THBS1,VWF",72 (7)
JAK1,0.184,kinase, ,1.342,0.0026,"CDKN1A,CHI3L1,IFIT2,LIF,PDGFB",104 (18)
tacedinaline, ,chemical drug, , ,0.00265,"IGF2,NPAS4", 
5R-hydroxytriptolide, ,chemical drug, , ,0.00265,"LY96,NOS2", 
VIPAS39,-0.024,other, , ,0.00265,"THBS1,VWF", 
ZNF395,-0.007,other, , ,0.00265,"IFIT1,IFIT2", 
NLRP11, ,other, , ,0.00265,"IFIT1,IFIT2", 
Ap2 alpha, ,group, , ,0.00265,"PLAUR,PTGDS", 
AMBN, ,growth factor, , ,0.00265,"CDKN1A,TNFRSF1B", 
EIF5A,-0.165,translation regulator, , ,0.00265,"CDKN1A,NOS2", 
WIF1, ,other, , ,0.00265,"FRZB,SFRP2", 
ERCC1,-0.162,enzyme, , ,0.00265,"CDKN1A,GHR",51 (7)
RAP1A,-0.223,enzyme, , ,0.00265,"CDKN1A,THBS1",110 (20)
dibenzoylmethane, ,chemical toxicant, , ,0.00265,"CDKN1A,CYP1A1",79 (7)
benz[a]anthracene, ,chemical toxicant, , ,0.00265,"ALDH3A1,CYP1A1", 
quinapril, ,chemical drug, , ,0.00265,"NOS2,PTHLH", 
TAZ,0.064,enzyme, , ,0.00267,"AMOTL2,ARHGAP29,CAV1,MYOF,NOS2,PLK2", 
IFNE, ,cytokine, ,1.982,0.00269,"BST2,CDKN1A,IFIT2,PLAAT4",35 (4)
EFNA3,-0.274,kinase, ,-1,0.00269,"ITGB4,KRT18,NT5E,PTHLH", 
S-nitrosoglutathione, ,chemical toxicant, ,1.067,0.00269,"CD8A,CDKN1A,CNR1,LIF",103 (16)
IGF1, ,growth factor, ,0.902,0.00269,"CDKN1A,ELN,EPAS1,FOSB,GADD45G,GHR,IGF2,NOS2,PLAUR,PLK2,PLP1,PTHLH,SHBG,SPP1,THBS1",126 (20)
doxorubicin, ,chemical drug, ,1.782,0.0027,"ABCC3,CDKN1A,CLDN4,FBLN1,GDF15,GLIPR1,ITGB4,KRT18,NOS2,NT5E,PERP,PTGDS,SPP1,SVIL",111 (22)
tranilast, ,chemical drug, , ,0.00273,"CDKN1A,NOS2,NRP1",110 (19)
DDX58,0.042,enzyme, ,1.522,0.00277,"DLL1,IFIT1,IFIT2,OAS1,SPP1",82 (12)
VHL,0.113,transcription regulator, ,-1.979,0.00279,"CAV1,CDKN1A,CLDN4,EPAS1,PDGFB,PTHLH,SLC16A3",102 (13)
LIF,1.04,cytokine,Activated,2.402,0.00292,"CDH5,CDKN1A,HES5,OLIG1,OLIG2,RPE65,SERPINA3,SPP1,VWF",118 (19)
ALB, ,transporter, , ,0.00292,"CDKN1A,EDNRB,NOS2,SYNPO",96 (16)
HBEGF,0.798,growth factor, ,0.068,0.00292,"ELN,NOS2,NRP1,SLC16A3", 
methyl methanesulfonate, ,chemical toxicant, ,0.106,0.00292,"ADGRB3,CDKN1A,GADD45G,LIF",101 (14)
aspirin, ,chemical drug, ,0.113,0.00292,"CAV1,CDH5,CDKN1A,EDNRB,GDF15,GHR,NOS2,THBS1",135 (20)
ETS2,0.087,transcription regulator,Activated,2,0.00294,"CDKN1A,KRT18,NOS2,PTHLH,SPP1",104 (10)
E. coli B5 lipopolysaccharide, ,chemical - endogenous non-mammalian,Activated,2.589,0.00309,"CDKN1A,ICOSLG/LOC102723996,IFIT1,LIF,NOD2,NOS2,PPARGC1A,PRDM16,SPP1,THBS1",120 (20)
PARPBP,0.264,other, , ,0.00313,"ELN,KRT18,SPON2", 
PAX2, ,transcription regulator, , ,0.00313,"GRIK2,SFRP2,SSTR2", 
HSP90AB1,-0.233,enzyme, , ,0.00313,"EPAS1,KCNJ11,NOS2", 
TERT,0.751,enzyme, , ,0.00315,"CAV1,CDKN1A,COLQ,IFIT1,IFIT2,PRXL2A,SPP1",118 (12)
butyric acid, ,chemical - endogenous mammalian, ,-0.589,0.00317,"ALPK2,CDKN1A,CYP1A1,H1-2,IFI30,IFIT1,IGF2,INPP5D,NOS2,NRP1,PTGDS,SPP1,TNFAIP2,TUBA4A",122 (19)
ZMPSTE24,-0.181,peptidase, ,-0.94,0.00317,"CDKN1A,CTSV,GADD45G,GHR",52 (7)
EFNA5, ,kinase, ,-1,0.00317,"ITGB4,KRT18,NT5E,PTHLH", 
"N-[N-(3,5-difluorophenacetyl-L-Ala)]-S-phenylglycine t-butyl ester", ,chemical - protease inhibitor, ,-0.426,0.00317,"HES5,NOS2,PDGFB,PTGDS",95 (13)
NFkB (complex), ,complex, ,1.97,0.00321,"CDKN1A,EDNRB,EPAS1,GDF15,HES5,ICOSLG/LOC102723996,LIF,MYLK3,NOS2,PLK2,PTGES,SERPINA3,SFRP2,SLC16A3,SLC2A12,SPP1,TDO2,TNFAIP2",123 (20)
TLR3,0.517,transmembrane receptor,Activated,2.158,0.00326,"ADAMTS4,CPM,IFI44L,IFIT1,IFIT2,NOS2,OAS1,PLK2,PTGES,TNFRSF1B",67 (13)
5-N-ethylcarboxamido adenosine, ,chemical reagent, ,-0.928,0.00338,"IFIT2,NOS2,NRP1,NT5E,PLK2,THBS1",81 (12)
Pka, ,complex, ,1.026,0.0034,"ANTXR2,CAV1,CDKN1A,NOS2,OXTR,PPARGC1A,PTHLH",107 (17)
HOTAIR, ,other, ,-1.992,0.00344,"CDKN1A,GDF15,MEG3,OAS1", 
IFNLR1, ,transmembrane receptor, , ,0.00344,"IFIT2,LIF,THBS1,TNFAIP2",80 (7)
stallimycin, ,biologic drug, ,0.655,0.00344,"IFIT1,IFIT2,NOS2,OAS1",80 (8)
bucladesine, ,chemical toxicant, ,1.504,0.00347,"ADCY8,ALDH3A1,C5AR1,CD8A,CDKN1A,GDF15,H19,IGF2,IRAK2,LIF,NOS2,PLK2",142 (21)
PPARGC1A,1.067,transcription regulator, ,0.394,0.00347,"CCN4,CDKN1A,CPLX1,CYP1A1,DCN,EPAS1,FBLN1,GDF15,MAP2K6,PPARGC1A,SERPINA3,VSTM2A",112 (15)
isotretinoin, ,biologic drug, ,1.109,0.00351,"CDKN1A,OAS1,PLAAT4,SERPINA3,TNFAIP2", 
CGAS, ,enzyme, , ,0.00356,"CDKN1A,IFIT2,OAS1",40 (6)
CTR9,-0.055,other, , ,0.00356,"CYP1A1,EPAS1,PTGES", 
LDL, ,complex, ,0.027,0.00363,"APOBEC3B,CDH5,CDKN1A,EDNRB,FOSB,HAS3,IFIT2,MMP16,NOS2,SHC1",135 (19)
Stat1 dimer, ,complex, , ,0.00367,"NOS2,TBX21", 
RDH10,-0.383,enzyme, , ,0.00367,"RDH5,SFRP2", 
HNRNPR,-0.43,other, , ,0.00367,"PLK2,THBS1", 
PDE3A, ,enzyme, , ,0.00367,"CDKN1A,PTHLH",11 (2)
PSENEN,0.041,peptidase, , ,0.00367,"DLL1,HES5",56 (7)
Gm26313, ,other, , ,0.00367,"PLK2,THBS1", 
